Date,AsleepCore,AsleepDeep,AsleepREM,Unspecified,isAwake,InBed
2023-11-30,0,0,0,0,0,278.45
2023-12-01,124,33.5,75.5,0,2.5,762.85
2023-12-04,0,0,0,0,0,384.95
2023-12-05,262,35,95,0,5.5,794.6166667
2023-12-06,0,0,0,0,0,456.2333333
2023-12-07,169,80,95,0,4,785.9666667
2023-12-08,0,0,0,0,0,532.65
2023-12-11,0,0,0,0,0,540
2023-12-12,0,0,0,176.5,98,629.2666667
2023-12-13,163.5,69,71,0,140,742.9
2023-12-14,0,0,0,0,0,367.7333333
2023-12-15,0,0,0,0,0,540
2023-12-18,0,0,0,0,0,478.95
2023-12-19,0,0,0,0,0,286.7666667
2023-12-20,0,0,0,0,0,415.3666667
2023-12-21,0,0,0,0,0,445.6333333
2023-12-22,246,60.5,109,0,20.5,754.65
2023-12-25,0,0,0,0,0,274.9
2023-12-26,0,0,0,0,0,418.8333333
2023-12-27,0,0,0,0,0,348.5666667
2023-12-28,0,0,0,0,0,297.75
2023-12-29,0,0,0,0,0,478.6666667
2024-01-01,0,0,0,0,0,438.4166667
2024-01-02,0,0,0,0,0,484.2166667
2024-01-03,0,0,0,0,0,540
2024-01-04,0,0,0,0,0,540
2024-01-05,0,0,0,0,0,407.45
2024-01-08,335,34,98.5,0,67,1007.5
2024-01-09,0,0,0,0,0,480.7333333
2024-01-10,211.5,46,66.5,0,21.5,864
2024-01-11,245,61.5,60.5,0,20,869.4
2024-01-12,255.5,57.5,129,0,2,982
2024-01-15,0,0,0,0,0,474.1
2024-01-16,232,52.5,104,0,6,692.5
2024-01-17,265.5,55.5,94.5,0,0.5,859.4666667
2024-01-18,0,0,0,0,0,540
2024-01-19,0,0,0,0,0,422.2333333
2024-01-22,313.5,45.5,103.5,0,5,941.5166667
2024-01-23,322.5,36.5,81.5,0,3.5,830.85
2024-01-24,318.5,39,104,0,0,530.5666667
2024-01-25,222.5,78.5,74.5,0,186.5,791.8166667
2024-01-26,153,81,97,0,0.5,647.65
2024-01-28,265,73,105,0,2.5,443
2024-01-29,260.5,70,100.5,0,11,530.45
2024-01-30,256.5,64.5,133.5,0,4.5,873.1
2024-01-31,365,42,105.5,0,1.5,948.4166667
2024-02-01,359,42.5,147.5,0,1.5,1062.633333
2024-02-02,289,45.5,78.5,0,4.5,832.45
2024-02-05,0,0,0,0,0,510.5833333
2024-02-06,177,64.5,109,0,44,735.9166667
2024-02-07,0,0,0,0,0,457.4333333
2024-02-08,267.5,39,77,0,120.5,773.7
2024-02-09,0,0,0,0,0,194.9666667
2024-02-12,0,0,0,0,0,262.6833333
2024-02-13,249,50.5,82.5,0,41,909.45
2024-02-14,0,0,0,0,0,533.9666667
2024-02-15,322.5,52,93,0,38,1000.083333
2024-02-16,0,0,0,0,0,351.0833333
2024-02-19,280.5,62,97.5,0,7.5,873.65
2024-02-20,234,56,119.5,0,7.5,840.3666667
2024-02-21,257,31.5,107.5,0,147,858.2166667
2024-02-22,0,0,0,0,0,404.5166667
2024-02-23,152.5,35.5,66.5,0,15.5,576.55
2024-02-26,150,58,109.5,0,9,612.9
2024-02-27,253.5,64.5,117,0,6.5,833.6
2024-02-28,351,73.5,160,0,31.5,991.4666667
2024-02-29,273.5,65,98.5,0,43,865.7666667
2024-03-01,166.5,53,39,0,70,582.8666667
2024-03-04,0,0,0,0,0,535.75
2024-03-05,342.5,85,142.5,0,6,1057.333333
2024-03-06,303,47,90.5,0,75,872.8166667
2024-03-07,251,66,111,0,185.5,919.3666667
2024-03-08,201,56,87.5,0,8,714.55
2024-03-11,235.5,48.5,90,0,3,791.15
2024-03-12,344.5,40.5,126,0,108.5,950.0333333
2024-03-13,308.5,60.5,97.5,0,25.5,808.2333333
2024-03-14,249,37.5,122.5,0,48,666.9166667
2024-03-15,0,0,0,0,0,540
2024-03-18,0,0,0,0,0,540.0333333
2024-03-19,260,68,107.5,0,194.5,975.0333333
2024-03-20,0,0,0,0,0,540
2024-03-21,221.5,55,125,0,1.5,941.5
2024-03-22,0,0,0,0,0,525.8833333
2024-03-25,273,62,107,0,6,756.7333333
2024-03-26,179,39.5,88,0,4,775.6833333
2024-03-27,0,0,0,0,0,361.2666667
2024-03-28,226,84.5,131.5,0,110,925.9333333
2024-03-29,0,0,0,0,0,540
2024-03-31,0,0,0,0,0,184.55
2024-04-01,109.5,57,53.5,0,0.5,503.65
2024-04-02,240.5,60,111.5,0,6.5,1271.5
2024-04-03,0,0,0,0,0,65.58333333
2024-04-04,0,0,0,0,0,855.2833333
2024-04-05,273.5,60,156,0,5.5,489.5
2024-04-08,239.5,56,113.5,0,18.5,1310.216667
2024-04-09,251.5,56,74.5,0,9.5,382
2024-04-10,246,47,85,0,3,1163.883333
2024-04-12,224.5,65.5,108,0,6,797.15
2024-04-15,246.5,64,93,0,5.5,806.1333333
2024-04-16,197,60,55,0,24,1079.45
2024-04-17,21,36.5,0,0,0.5,469.95
2024-04-18,287.5,17.5,78,0,43.5,460.4166667
2024-04-19,142,53,47.5,0,4,543.15
2024-04-21,0,0,0,0,0,283.8833333
2024-04-22,20,39.5,0,0,0,821.2333333
2024-04-23,210.5,44.5,100.5,0,13.5,309
2024-04-24,312.5,58.5,104,0,12.5,843.95
2024-04-25,20,0,0,0,1.5,758.4166667
2024-04-26,307,47,128.5,0,53.5,577.8333333
2024-04-28,14,24,0,0,0,525.55
2024-04-29,259,29.5,115.5,0,15.5,437.3666667
2024-04-30,286,60,111.5,0,13.5,915.6166667
2024-05-01,245.5,59,88,0,4,1299.883333
2024-05-02,0,0,0,0,0,493.3333333
2024-05-03,0,0,0,0,0,0.05
2024-05-05,0,0,0,0,0,386.8333333
2024-05-06,0,0,0,0,0,434.1833333
2024-05-07,355.5,66,143.5,0,26,660.8833333
2024-05-08,0,0,0,0,0,447.2166667
2024-05-09,0,0,0,0,0,374.7
2024-05-10,0,0,0,0,0,346.5333333
2024-05-13,205,40,96.5,0,18,714.9
2024-05-14,0,0,0,0,0,409.7333333
2024-05-15,227,42,101,0,10,756.3666667
2024-05-16,256.5,73.5,142,0,15.5,1408.3
2024-05-17,243.5,56.5,102,0,3,402
2024-05-20,0,0,0,0,0,845.1833333
2024-05-21,136.5,69.5,78,0,1,284
2024-05-22,0,0,0,0,0,259.4166667
2024-05-23,0,0,0,159.5,5,923.0333333
2024-05-24,166.5,35,89.5,0,0,291
2024-05-27,162.5,62,90,0,1,656.45
2024-05-28,129,65,65.5,0,25.5,1062.283333
